               tagname               | round  | count  
 laravel-6.2                         |  1.371 |     35
 mailx                               |  1.371 |     35
 ng-modules                          |  1.371 |     35
 react-native-paper                  |  1.371 |     35
 solid-js                            |  1.371 |     35
 textscan                            |  1.371 |     35
 webspeech-api                       |  1.371 |     35
 xp-cmdshell                         |  1.371 |     35
 url-rewriting                       |  1.370 |   2548
 lucene                              |  1.370 |   1521
 devexpress                          |  1.370 |    968
 hyperledger-fabric                  |  1.370 |    819
 .net-6.0                            |  1.370 |    733
 magento2                            |  1.370 |    627
 flutter-getx                        |  1.370 |    208
 google-sheets-query                 |  1.370 |    184
 facebook-messenger                  |  1.370 |    162
 reportlab                           |  1.370 |    162
 variant                             |  1.370 |    138
 metamask                            |  1.370 |    119
 angular-filters                     |  1.370 |    100
 paperjs                             |  1.370 |    100
 corpus                              |  1.370 |     92
 mat-table                           |  1.370 |     81
 synology                            |  1.370 |     73
 jenkins-declarative-pipeline        |  1.370 |     54
 lemmatization                       |  1.370 |     54
 lucee                               |  1.370 |     54
 amazon-data-pipeline                |  1.370 |     46
 conduit                             |  1.370 |     46
 fuzzy                               |  1.370 |     46
 touch-id                            |  1.370 |     46
 app.xaml                            |  1.370 |     27
 census                              |  1.370 |     27
 dbset                               |  1.370 |     27
 ggrepel                             |  1.370 |     27
 httpservice                         |  1.370 |     27
 irrlicht                            |  1.370 |     27
 jetpack-compose-navigation          |  1.370 |     27
 nsimageview                         |  1.370 |     27
 plot-annotations                    |  1.370 |     27
 regexp-like                         |  1.370 |     27
